,상권코드,시군구명,서비스업종명,월예상매출,점수
2578,2120179,서초구,한식음식점,1580.0,72.34
2579,2120179,서초구,패스트푸드점,966.0,56.39
2580,2110428,노원구,호프-간이주점,1413.0,68.0
2581,2110428,노원구,한식음식점,1579.0,72.31
2582,2120189,서초구,한식음식점,1497.0,70.18
2583,2120189,서초구,치킨전문점,1273.0,64.36
2584,2120189,서초구,분식전문점,1450.0,68.96
2585,2120189,서초구,일식음식점,1498.0,70.21
2586,2120189,서초구,제과점,1041.0,58.34
2587,2120189,서초구,호프-간이주점,1563.0,71.89
2588,2130241,영등포구,커피-음료,679.0,48.94
2589,2130241,영등포구,호프-간이주점,706.0,49.64
2590,2110092,용산구,한식음식점,967.0,56.42
2591,2110092,용산구,분식전문점,886.0,54.31
2592,2110092,용산구,치킨전문점,684.0,49.07
2593,2110092,용산구,양식음식점,886.0,54.31
2594,2110092,용산구,중식음식점,886.0,54.31
2595,2110207,동대문구,한식음식점,1113.0,60.21
2596,2110207,동대문구,호프-간이주점,940.0,55.72
2597,2110207,동대문구,치킨전문점,755.0,50.91
2598,2130290,관악구,치킨전문점,964.0,56.34
2599,2130290,관악구,양식음식점,848.0,53.33
2600,2130290,관악구,패스트푸드점,710.0,49.74
2601,2130290,관악구,중식음식점,1152.0,61.22
2602,2130290,관악구,호프-간이주점,848.0,53.33
2603,2130290,관악구,분식전문점,1152.0,61.22
2604,2130146,도봉구,일식음식점,1376.0,67.04
2605,2130146,도봉구,호프-간이주점,1489.0,69.97
2606,2130146,도봉구,커피-음료,1289.0,64.78
2607,2130146,도봉구,패스트푸드점,1036.0,58.21
2608,2130146,도봉구,한식음식점,1498.0,70.21
2609,2130146,도봉구,양식음식점,1283.0,64.62
2610,2130146,도봉구,분식전문점,1233.0,63.33
2611,2130146,도봉구,제과점,1319.0,65.56
2612,2110718,구로구,일식음식점,1256.0,63.92
2613,2110718,구로구,한식음식점,1223.0,63.07
2614,2110429,노원구,커피-음료,1441.0,68.73
2615,2110429,노원구,육류판매,1369.0,66.86
2616,2110429,노원구,양식음식점,1369.0,66.86
2617,2110429,노원구,호프-간이주점,1369.0,66.86
2618,2110429,노원구,중식음식점,1369.0,66.86
2619,2110099,용산구,양식음식점,632.0,47.72
2620,2110694,구로구,호프-간이주점,1417.0,68.1
2621,2110694,구로구,제과점,1293.0,64.88
2622,2110694,구로구,한식음식점,1729.0,76.2
2623,2110694,구로구,중식음식점,1611.0,73.14
2624,2110694,구로구,분식전문점,1499.0,70.23
2625,2110694,구로구,커피-음료,1462.0,69.27
2626,2110694,구로구,치킨전문점,1194.0,62.31
2627,2110736,금천구,호프-간이주점,1031.0,58.08
2628,2110736,금천구,중식음식점,1031.0,58.08
2629,2110736,금천구,일식음식점,1157.0,61.35
2630,2120107,마포구,분식전문점,2105.0,85.97
2631,2120107,마포구,제과점,2182.0,87.97
2632,2120107,마포구,치킨전문점,2256.0,89.89
2633,2120107,마포구,일식음식점,2349.0,92.3
2634,2120107,마포구,호프-간이주점,2076.0,85.22
2635,2120107,마포구,커피-음료,2081.0,85.35
2636,2110618,양천구,중식음식점,1316.0,65.48
2637,2110618,양천구,커피-음료,1261.0,64.05
2638,2110618,양천구,한식음식점,1622.0,73.43
2639,2130094,동대문구,호프-간이주점,575.0,46.24
2640,2130094,동대문구,육류판매,575.0,46.24
2641,2130094,동대문구,제과점,478.0,43.72
2642,2130194,마포구,한식음식점,1137.0,60.83
2643,2130194,마포구,양식음식점,1399.0,67.64
2644,2110600,양천구,커피-음료,971.0,56.52
2645,2110600,양천구,한식음식점,913.0,55.02
2646,2110849,동작구,육류판매,1415.0,68.05
2647,2120112,양천구,분식전문점,1523.0,70.86
2648,2120112,양천구,커피-음료,1283.0,64.62
2649,2120112,양천구,치킨전문점,1144.0,61.01
2650,2120112,양천구,중식음식점,1307.0,65.25
2651,2110296,성북구,양식음식점,1176.0,61.85
2652,2111005,송파구,육류판매,1489.0,69.97
2653,2111005,송파구,커피-음료,1700.0,75.45
2654,2110873,관악구,호프-간이주점,1175.0,61.82
2655,2110873,관악구,제과점,814.0,52.45
2656,2120208,강남구,양식음식점,1500.0,70.26
2657,2120208,강남구,분식전문점,1500.0,70.26
2658,2120208,강남구,커피-음료,1409.0,67.9
2659,2110150,광진구,한식음식점,1516.0,70.67
2660,2110999,강남구,제과점,402.0,41.75
2661,2110999,강남구,커피-음료,310.0,39.36
2662,2110999,강남구,분식전문점,372.0,40.97
2663,2110031,종로구,육류판매,654.0,48.29
2664,2120146,영등포구,패스트푸드점,786.0,51.72
2665,2110620,양천구,한식음식점,1458.0,69.17
2666,2110620,양천구,제과점,1255.0,63.9
2667,2110064,용산구,중식음식점,1342.0,66.16
2668,2110064,용산구,한식음식점,1630.0,73.63
2669,2110064,용산구,분식전문점,1342.0,66.16
2670,2110355,강북구,제과점,1015.0,57.66
2671,2110355,강북구,커피-음료,1224.0,63.09
2672,2110784,영등포구,호프-간이주점,693.0,49.3
2673,2110912,서초구,패스트푸드점,545.0,45.46
2674,2110011,종로구,중식음식점,379.0,41.15
