,상권코드,서비스업종코드명,점포수,유사업종점포수,개업율,개업점포수,폐업율,폐업점포수,집객시설수,관공서수,은행수,버스정거장수,지하철수,약국수,총직장인구수,총상주인구수,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,분기당매출금액,시군구명
16,2110766,분식전문점,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,360.0,2335.0,964823,482616,482207,93018,113162,167252,168306,185436,237648,221745,194266,117759,120360,183414,127278,136985,135225,136135,135525,136305,138831,145818,5740000.0,영등포구
17,2110766,중식음식점,17.0,17.0,0.0,0.0,12.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,360.0,2335.0,964823,482616,482207,93018,113162,167252,168306,185436,237648,221745,194266,117759,120360,183414,127278,136985,135225,136135,135525,136305,138831,145818,15580000.0,영등포구
18,2110766,커피-음료,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,360.0,2335.0,964823,482616,482207,93018,113162,167252,168306,185436,237648,221745,194266,117759,120360,183414,127278,136985,135225,136135,135525,136305,138831,145818,8010000.0,영등포구
19,2110766,호프-간이주점,10.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,360.0,2335.0,964823,482616,482207,93018,113162,167252,168306,185436,237648,221745,194266,117759,120360,183414,127278,136985,135225,136135,135525,136305,138831,145818,3640000.0,영등포구
20,2110766,한식음식점,11.0,11.0,0.0,0.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,360.0,2335.0,964823,482616,482207,93018,113162,167252,168306,185436,237648,221745,194266,117759,120360,183414,127278,136985,135225,136135,135525,136305,138831,145818,7920000.0,영등포구
21,2120097,패스트푸드점,0.0,4.0,0.0,0.0,0.0,0.0,26.0,1.0,3.0,11.0,2.0,1.0,2246.0,873.0,353539,170650,182889,28231,55921,80773,71858,55511,61247,68455,77418,57794,59321,58056,32496,52372,55550,55528,55572,53118,40923,40477,9300000.0,서대문구
22,2120097,한식음식점,21.0,25.0,4.0,1.0,8.0,2.0,26.0,1.0,3.0,11.0,2.0,1.0,2246.0,873.0,353539,170650,182889,28231,55921,80773,71858,55511,61247,68455,77418,57794,59321,58056,32496,52372,55550,55528,55572,53118,40923,40477,27430000.0,서대문구
23,2120097,분식전문점,6.0,7.0,0.0,0.0,0.0,0.0,26.0,1.0,3.0,11.0,2.0,1.0,2246.0,873.0,353539,170650,182889,28231,55921,80773,71858,55511,61247,68455,77418,57794,59321,58056,32496,52372,55550,55528,55572,53118,40923,40477,6790000.0,서대문구
24,2120097,커피-음료,9.0,16.0,6.0,1.0,0.0,0.0,26.0,1.0,3.0,11.0,2.0,1.0,2246.0,873.0,353539,170650,182889,28231,55921,80773,71858,55511,61247,68455,77418,57794,59321,58056,32496,52372,55550,55528,55572,53118,40923,40477,25320000.0,서대문구
25,2120097,양식음식점,5.0,6.0,0.0,0.0,0.0,0.0,26.0,1.0,3.0,11.0,2.0,1.0,2246.0,873.0,353539,170650,182889,28231,55921,80773,71858,55511,61247,68455,77418,57794,59321,58056,32496,52372,55550,55528,55572,53118,40923,40477,15140000.0,서대문구
26,2120097,일식음식점,2.0,2.0,0.0,0.0,0.0,0.0,26.0,1.0,3.0,11.0,2.0,1.0,2246.0,873.0,353539,170650,182889,28231,55921,80773,71858,55511,61247,68455,77418,57794,59321,58056,32496,52372,55550,55528,55572,53118,40923,40477,44850000.0,서대문구
27,2120097,호프-간이주점,2.0,2.0,0.0,0.0,0.0,0.0,26.0,1.0,3.0,11.0,2.0,1.0,2246.0,873.0,353539,170650,182889,28231,55921,80773,71858,55511,61247,68455,77418,57794,59321,58056,32496,52372,55550,55528,55572,53118,40923,40477,2840000.0,서대문구
28,2120097,중식음식점,5.0,5.0,0.0,0.0,0.0,0.0,26.0,1.0,3.0,11.0,2.0,1.0,2246.0,873.0,353539,170650,182889,28231,55921,80773,71858,55511,61247,68455,77418,57794,59321,58056,32496,52372,55550,55528,55572,53118,40923,40477,23160000.0,서대문구
