,점포수,유사업종점포수,개업점포수,폐업점포수,집객시설수,관공서수,은행수,버스정거장수,지하철수,약국수,총직장인구수,총상주인구수,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,분기당매출금액,시군구명,서비스업종명,월예상매출
77,6.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1023.0,549.0,299803.0,152912.0,146890.0,29817.0,58032,75113,61702.0,37774.0,37363.0,51340.0,60667.0,51173,52198.0,55574.0,28850.0,46089.0,48555.0,47030,46843.0,46460.0,34084.0,30742.0,7.0,강남구,한식음식점,1.0
78,13.5,16.5,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1251.0,1761.0,959048.0,492089.0,466961.0,72435.0,192354,262575,210816.0,101428.0,119443.0,172405.0,203441.0,171459,167345.0,158004.0,86396.0,146746.0,157657.0,159181,157320.0,148054.0,98709.0,91380.0,3.0,강남구,커피-음료,3.0
155,4.0,5.0,0.0,0.0,33.0,2.0,2.0,8.0,1.0,1.0,3226.5,693.0,378972.0,195874.0,183097.0,45484.0,61028,86691,81040.0,51853.0,52875.0,47013.0,84382.0,73578,74214.0,69508.0,30275.0,56624.0,60168.0,61259,61687.0,58388.0,42423.0,38424.0,7.0,강남구,호프-간이주점,1.0
156,3.0,3.0,0.0,0.0,33.0,2.0,2.0,8.0,1.0,1.0,3226.5,693.0,378972.0,195874.0,183097.0,45484.0,61028,86691,81040.0,51853.0,52875.0,47013.0,84382.0,73578,74214.0,69508.0,30275.0,56624.0,60168.0,61259,61687.0,58388.0,42423.0,38424.0,7.0,강남구,중식음식점,1.0
157,13.5,16.5,1.0,1.0,33.0,2.0,2.0,8.0,1.0,1.0,3226.5,693.0,378972.0,195874.0,183097.0,45484.0,61028,86691,81040.0,51853.0,52875.0,47013.0,84382.0,73578,74214.0,69508.0,30275.0,56624.0,60168.0,61259,61687.0,58388.0,42423.0,38424.0,7.0,강남구,한식음식점,1.0
158,1.0,2.0,0.0,0.0,33.0,2.0,2.0,8.0,1.0,1.0,3226.5,693.0,378972.0,195874.0,183097.0,45484.0,61028,86691,81040.0,51853.0,52875.0,47013.0,84382.0,73578,74214.0,69508.0,30275.0,56624.0,60168.0,61259,61687.0,58388.0,42423.0,38424.0,7.0,강남구,제과점,0.0
159,9.0,12.0,0.0,0.0,33.0,2.0,2.0,8.0,1.0,1.0,3226.5,693.0,378972.0,195874.0,183097.0,45484.0,61028,86691,81040.0,51853.0,52875.0,47013.0,84382.0,73578,74214.0,69508.0,30275.0,56624.0,60168.0,61259,61687.0,58388.0,42423.0,38424.0,2.0,강남구,분식전문점,1.0
335,2.0,4.0,0.0,0.0,36.0,0.0,1.0,8.0,0.0,3.0,3226.5,1880.0,955134.0,463766.0,491369.0,143375.0,154840,192318,190042.0,127075.0,147483.0,182156.0,204292.0,150285,151706.0,167695.0,99000.0,143369.0,147472.0,147550,145120.0,140950.0,116569.0,114104.0,7.0,강남구,제과점,0.0
336,11.0,12.0,0.0,1.0,36.0,0.0,1.0,8.0,0.0,3.0,3226.5,1880.0,955134.0,463766.0,491369.0,143375.0,154840,192318,190042.0,127075.0,147483.0,182156.0,204292.0,150285,151706.0,167695.0,99000.0,143369.0,147472.0,147550,145120.0,140950.0,116569.0,114104.0,3.0,강남구,분식전문점,3.0
337,2.0,2.0,0.0,0.0,36.0,0.0,1.0,8.0,0.0,3.0,3226.5,1880.0,955134.0,463766.0,491369.0,143375.0,154840,192318,190042.0,127075.0,147483.0,182156.0,204292.0,150285,151706.0,167695.0,99000.0,143369.0,147472.0,147550,145120.0,140950.0,116569.0,114104.0,7.0,강남구,육류판매,3.0
370,1.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,138.0,2.0,16117.0,7106.0,9011.0,4361.0,1292,1417,2951.0,2463.0,3630.0,5753.0,3132.0,1538,1477.0,1943.0,2273.0,2362.0,2376.0,2386,2388.0,2364.0,2155.0,2084.0,0.0,강남구,일식음식점,3.0
371,2.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,138.0,2.0,16117.0,7106.0,9011.0,4361.0,1292,1417,2951.0,2463.0,3630.0,5753.0,3132.0,1538,1477.0,1943.0,2273.0,2362.0,2376.0,2386,2388.0,2364.0,2155.0,2084.0,7.0,강남구,육류판매,6.0
414,7.0,7.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,48.0,6.0,9936.0,5057.0,4879.0,938.0,1397,2241,2152.0,1538.0,1670.0,2403.0,2312.0,1263,1171.0,1393.0,1393.0,1438.0,1529.0,1495,1485.0,1490.0,1339.0,1160.0,7.0,강남구,한식음식점,1.0
650,13.5,16.5,1.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,한식음식점,3.0
651,13.5,16.5,1.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,6.0,강남구,커피-음료,3.0
652,13.5,16.5,1.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,5.0,강남구,양식음식점,3.0
653,13.5,16.5,1.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,6.0,강남구,분식전문점,3.0
654,13.0,16.5,0.0,0.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,3.0,강남구,패스트푸드점,3.0
655,10.0,15.0,0.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,제과점,0.0
656,13.5,16.5,0.0,0.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,호프-간이주점,3.0
667,13.5,16.5,1.0,1.0,93.0,5.0,2.0,8.0,0.0,7.0,3226.5,3265.0,1575539.0,709968.0,824092.5,156369.0,287135,290973,259048.5,211605.0,244728.0,295183.0,320738.0,203391,204755.25,277593.375,161883.0,219425.0,230372.625,230721,230492.25,229510.5,219952.875,188025.0,6.0,강남구,분식전문점,3.0
668,12.0,16.5,0.0,0.0,93.0,5.0,2.0,8.0,0.0,7.0,3226.5,3265.0,1575539.0,709968.0,824092.5,156369.0,287135,290973,259048.5,211605.0,244728.0,295183.0,320738.0,203391,204755.25,277593.375,161883.0,219425.0,230372.625,230721,230492.25,229510.5,219952.875,188025.0,7.0,강남구,제과점,3.0
669,13.5,16.5,1.0,1.0,93.0,5.0,2.0,8.0,0.0,7.0,3226.5,3265.0,1575539.0,709968.0,824092.5,156369.0,287135,290973,259048.5,211605.0,244728.0,295183.0,320738.0,203391,204755.25,277593.375,161883.0,219425.0,230372.625,230721,230492.25,229510.5,219952.875,188025.0,7.0,강남구,양식음식점,3.0
670,5.0,6.0,0.0,0.0,93.0,5.0,2.0,8.0,0.0,7.0,3226.5,3265.0,1575539.0,709968.0,824092.5,156369.0,287135,290973,259048.5,211605.0,244728.0,295183.0,320738.0,203391,204755.25,277593.375,161883.0,219425.0,230372.625,230721,230492.25,229510.5,219952.875,188025.0,1.0,강남구,패스트푸드점,3.0
677,13.5,16.5,0.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,일식음식점,3.0
678,13.5,16.5,1.0,0.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,중식음식점,3.0
679,13.5,16.5,1.0,0.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,6.0,강남구,커피-음료,3.0
680,13.0,16.5,1.0,0.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,3.0,강남구,패스트푸드점,3.0
681,13.5,16.5,1.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,분식전문점,3.0
682,13.5,16.5,0.0,0.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,호프-간이주점,3.0
683,5.0,16.0,0.0,0.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,치킨전문점,5.0
684,11.0,16.0,1.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,제과점,0.0
685,13.5,16.5,1.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,한식음식점,3.0
701,5.0,9.0,0.0,0.0,40.0,0.0,1.0,6.0,2.0,9.0,3226.5,594.0,222273.0,111244.0,111028.0,27481.0,22770,35164,36878.0,32120.0,67861.0,37281.0,49865.0,37767,34999.0,39382.0,22977.0,34634.0,35106.0,34315,34122.0,34503.0,25798.0,23793.0,7.0,강남구,패스트푸드점,3.0
771,13.5,16.5,1.0,1.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,1040491.0,562709.0,477782.0,124629.0,198073,278756,217893.0,120654.0,100485.0,79325.0,248627.0,203391,204755.25,192058.0,64397.0,167114.0,182559.0,174123,174213.0,170167.0,92959.0,79358.0,7.0,강남구,커피-음료,3.0
772,13.5,16.5,0.0,0.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,1040491.0,562709.0,477782.0,124629.0,198073,278756,217893.0,120654.0,100485.0,79325.0,248627.0,203391,204755.25,192058.0,64397.0,167114.0,182559.0,174123,174213.0,170167.0,92959.0,79358.0,7.0,강남구,양식음식점,3.0
773,3.0,8.0,0.0,0.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,1040491.0,562709.0,477782.0,124629.0,198073,278756,217893.0,120654.0,100485.0,79325.0,248627.0,203391,204755.25,192058.0,64397.0,167114.0,182559.0,174123,174213.0,170167.0,92959.0,79358.0,7.0,강남구,패스트푸드점,3.0
774,2.0,9.0,0.0,0.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,1040491.0,562709.0,477782.0,124629.0,198073,278756,217893.0,120654.0,100485.0,79325.0,248627.0,203391,204755.25,192058.0,64397.0,167114.0,182559.0,174123,174213.0,170167.0,92959.0,79358.0,7.0,강남구,치킨전문점,3.0
775,5.0,8.0,0.0,0.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,1040491.0,562709.0,477782.0,124629.0,198073,278756,217893.0,120654.0,100485.0,79325.0,248627.0,203391,204755.25,192058.0,64397.0,167114.0,182559.0,174123,174213.0,170167.0,92959.0,79358.0,7.0,강남구,호프-간이주점,3.0
776,13.0,15.0,0.0,0.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,1040491.0,562709.0,477782.0,124629.0,198073,278756,217893.0,120654.0,100485.0,79325.0,248627.0,203391,204755.25,192058.0,64397.0,167114.0,182559.0,174123,174213.0,170167.0,92959.0,79358.0,7.0,강남구,중식음식점,3.0
806,5.0,7.0,0.0,0.0,23.0,1.0,1.0,11.0,0.0,2.0,3226.5,1116.0,589928.0,298009.0,291919.0,60203.0,95224,119400,112940.0,94226.0,107938.0,88782.0,122434.0,105407,104212.0,112037.0,57058.0,88525.0,93921.0,94902,94017.0,90609.0,66147.0,61806.0,0.0,강남구,패스트푸드점,3.0
807,13.5,16.5,1.0,1.0,23.0,1.0,1.0,11.0,0.0,2.0,3226.5,1116.0,589928.0,298009.0,291919.0,60203.0,95224,119400,112940.0,94226.0,107938.0,88782.0,122434.0,105407,104212.0,112037.0,57058.0,88525.0,93921.0,94902,94017.0,90609.0,66147.0,61806.0,7.0,강남구,커피-음료,3.0
808,13.5,16.5,0.0,0.0,23.0,1.0,1.0,11.0,0.0,2.0,3226.5,1116.0,589928.0,298009.0,291919.0,60203.0,95224,119400,112940.0,94226.0,107938.0,88782.0,122434.0,105407,104212.0,112037.0,57058.0,88525.0,93921.0,94902,94017.0,90609.0,66147.0,61806.0,6.0,강남구,분식전문점,5.0
834,10.0,11.0,0.0,0.0,65.0,4.0,2.0,7.0,1.0,8.0,3226.5,4394.0,1585510.875,761965.5,824092.5,118796.0,289209,290973,259048.5,219886.0,240176.0,315077.0,327004.5,203391,204755.25,277593.375,175018.0,228691.5,230372.625,230721,230492.25,229510.5,206819.0,190808.0,7.0,강남구,양식음식점,3.0
835,13.5,16.5,0.0,1.0,65.0,4.0,2.0,7.0,1.0,8.0,3226.5,4394.0,1585510.875,761965.5,824092.5,118796.0,289209,290973,259048.5,219886.0,240176.0,315077.0,327004.5,203391,204755.25,277593.375,175018.0,228691.5,230372.625,230721,230492.25,229510.5,206819.0,190808.0,7.0,강남구,커피-음료,3.0
836,13.5,16.5,1.0,1.0,65.0,4.0,2.0,7.0,1.0,8.0,3226.5,4394.0,1585510.875,761965.5,824092.5,118796.0,289209,290973,259048.5,219886.0,240176.0,315077.0,327004.5,203391,204755.25,277593.375,175018.0,228691.5,230372.625,230721,230492.25,229510.5,206819.0,190808.0,7.0,강남구,한식음식점,3.0
837,8.0,9.0,0.0,0.0,65.0,4.0,2.0,7.0,1.0,8.0,3226.5,4394.0,1585510.875,761965.5,824092.5,118796.0,289209,290973,259048.5,219886.0,240176.0,315077.0,327004.5,203391,204755.25,277593.375,175018.0,228691.5,230372.625,230721,230492.25,229510.5,206819.0,190808.0,7.0,강남구,호프-간이주점,3.0
838,1.0,4.0,1.0,0.0,65.0,4.0,2.0,7.0,1.0,8.0,3226.5,4394.0,1585510.875,761965.5,824092.5,118796.0,289209,290973,259048.5,219886.0,240176.0,315077.0,327004.5,203391,204755.25,277593.375,175018.0,228691.5,230372.625,230721,230492.25,229510.5,206819.0,190808.0,4.0,강남구,제과점,0.0
839,7.0,9.0,0.0,0.0,65.0,4.0,2.0,7.0,1.0,8.0,3226.5,4394.0,1585510.875,761965.5,824092.5,118796.0,289209,290973,259048.5,219886.0,240176.0,315077.0,327004.5,203391,204755.25,277593.375,175018.0,228691.5,230372.625,230721,230492.25,229510.5,206819.0,190808.0,7.0,강남구,중식음식점,3.0
840,13.5,16.0,0.0,0.0,65.0,4.0,2.0,7.0,1.0,8.0,3226.5,4394.0,1585510.875,761965.5,824092.5,118796.0,289209,290973,259048.5,219886.0,240176.0,315077.0,327004.5,203391,204755.25,277593.375,175018.0,228691.5,230372.625,230721,230492.25,229510.5,206819.0,190808.0,7.0,강남구,일식음식점,3.0
841,4.0,4.0,0.0,0.0,65.0,4.0,2.0,7.0,1.0,8.0,3226.5,4394.0,1585510.875,761965.5,824092.5,118796.0,289209,290973,259048.5,219886.0,240176.0,315077.0,327004.5,203391,204755.25,277593.375,175018.0,228691.5,230372.625,230721,230492.25,229510.5,206819.0,190808.0,7.0,강남구,육류판매,3.0
842,13.5,16.5,1.0,0.0,65.0,4.0,2.0,7.0,1.0,8.0,3226.5,4394.0,1585510.875,761965.5,824092.5,118796.0,289209,290973,259048.5,219886.0,240176.0,315077.0,327004.5,203391,204755.25,277593.375,175018.0,228691.5,230372.625,230721,230492.25,229510.5,206819.0,190808.0,7.0,강남구,분식전문점,3.0
843,3.0,6.0,0.0,0.0,65.0,4.0,2.0,7.0,1.0,8.0,3226.5,4394.0,1585510.875,761965.5,824092.5,118796.0,289209,290973,259048.5,219886.0,240176.0,315077.0,327004.5,203391,204755.25,277593.375,175018.0,228691.5,230372.625,230721,230492.25,229510.5,206819.0,190808.0,7.0,강남구,치킨전문점,3.0
870,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,994.0,861.0,413629.0,219493.0,194135.0,20767.0,101715,118816,80617.0,48945.0,42767.0,55057.0,87940.0,79440,80222.0,76531.0,34440.0,62397.0,68426.0,69240,68900.0,64693.0,43887.0,36086.0,6.0,강남구,치킨전문점,1.0
880,13.5,16.5,1.0,1.0,11.0,0.0,1.0,5.0,0.0,1.0,2779.0,3789.0,1385113.0,741278.0,643835.0,201150.75,181233,209310,257862.0,170632.0,148761.0,279692.0,282360.0,201428,204755.25,268551.0,144205.0,203408.0,205065.0,203238,201045.0,202625.0,189572.0,180160.0,6.0,강남구,커피-음료,3.0
881,7.0,8.0,0.0,1.0,11.0,0.0,1.0,5.0,0.0,1.0,2779.0,3789.0,1385113.0,741278.0,643835.0,201150.75,181233,209310,257862.0,170632.0,148761.0,279692.0,282360.0,201428,204755.25,268551.0,144205.0,203408.0,205065.0,203238,201045.0,202625.0,189572.0,180160.0,4.0,강남구,양식음식점,3.0
882,5.0,8.0,0.0,0.0,11.0,0.0,1.0,5.0,0.0,1.0,2779.0,3789.0,1385113.0,741278.0,643835.0,201150.75,181233,209310,257862.0,170632.0,148761.0,279692.0,282360.0,201428,204755.25,268551.0,144205.0,203408.0,205065.0,203238,201045.0,202625.0,189572.0,180160.0,4.0,강남구,패스트푸드점,3.0
883,1.0,5.0,1.0,1.0,11.0,0.0,1.0,5.0,0.0,1.0,2779.0,3789.0,1385113.0,741278.0,643835.0,201150.75,181233,209310,257862.0,170632.0,148761.0,279692.0,282360.0,201428,204755.25,268551.0,144205.0,203408.0,205065.0,203238,201045.0,202625.0,189572.0,180160.0,7.0,강남구,치킨전문점,3.0
884,9.0,11.0,1.0,0.0,9.0,0.0,0.0,7.0,0.0,1.0,3226.5,309.0,230085.0,132036.0,98048.0,39626.0,35225,54701,49048.0,27647.0,23837.0,20784.0,54512.0,50119,48558.0,40789.0,15325.0,37109.0,39923.0,37627,37693.0,36684.0,21658.0,19392.0,4.0,강남구,커피-음료,3.0
885,1.0,1.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,1.0,3226.5,309.0,230085.0,132036.0,98048.0,39626.0,35225,54701,49048.0,27647.0,23837.0,20784.0,54512.0,50119,48558.0,40789.0,15325.0,37109.0,39923.0,37627,37693.0,36684.0,21658.0,19392.0,7.0,강남구,중식음식점,3.0
1174,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,377.0,1279.0,634282.0,342237.0,292044.0,39119.0,139332,184798,131150.0,73954.0,65929.0,130177.0,138034.0,104090,96808.0,101793.0,63379.0,93391.0,100674.0,102001,101031.0,95014.0,69140.0,73031.0,4.0,강남구,패스트푸드점,3.0
1184,3.0,5.0,0.0,0.0,77.0,1.0,1.0,3.0,1.0,8.0,3226.5,1843.0,1585510.875,761965.5,824092.5,198057.0,289209,290973,259048.5,225818.25,294489.0,278619.0,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,4.0,강남구,치킨전문점,5.0
1185,13.5,16.5,1.0,0.0,77.0,1.0,1.0,3.0,1.0,8.0,3226.5,1843.0,1585510.875,761965.5,824092.5,198057.0,289209,290973,259048.5,225818.25,294489.0,278619.0,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,일식음식점,3.0
1186,13.5,16.5,1.0,0.0,77.0,1.0,1.0,3.0,1.0,8.0,3226.5,1843.0,1585510.875,761965.5,824092.5,198057.0,289209,290973,259048.5,225818.25,294489.0,278619.0,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,6.0,강남구,커피-음료,3.0
1187,13.5,16.5,1.0,1.0,77.0,1.0,1.0,3.0,1.0,8.0,3226.5,1843.0,1585510.875,761965.5,824092.5,198057.0,289209,290973,259048.5,225818.25,294489.0,278619.0,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,6.0,강남구,분식전문점,3.0
1188,13.5,16.5,1.0,1.0,77.0,1.0,1.0,3.0,1.0,8.0,3226.5,1843.0,1585510.875,761965.5,824092.5,198057.0,289209,290973,259048.5,225818.25,294489.0,278619.0,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,한식음식점,3.0
1189,11.0,11.0,1.0,0.0,77.0,1.0,1.0,3.0,1.0,8.0,3226.5,1843.0,1585510.875,761965.5,824092.5,198057.0,289209,290973,259048.5,225818.25,294489.0,278619.0,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,3.0,강남구,중식음식점,3.0
1190,13.5,16.5,1.0,0.0,77.0,1.0,1.0,3.0,1.0,8.0,3226.5,1843.0,1585510.875,761965.5,824092.5,198057.0,289209,290973,259048.5,225818.25,294489.0,278619.0,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,호프-간이주점,3.0
1191,12.0,16.0,1.0,0.0,77.0,1.0,1.0,3.0,1.0,8.0,3226.5,1843.0,1585510.875,761965.5,824092.5,198057.0,289209,290973,259048.5,225818.25,294489.0,278619.0,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,1.0,강남구,제과점,0.0
1198,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2996.0,1131.0,360293.0,158349.0,201944.0,48423.0,52827,65369,69198.0,52947.0,71530.0,88111.0,77535.0,48543,48570.0,55467.0,42068.0,50839.0,53379.0,53825,53885.0,53750.0,49333.0,45284.0,7.0,강남구,양식음식점,1.0
1271,9.0,11.0,1.0,0.0,30.0,1.0,2.0,3.0,0.0,2.0,3226.5,1595.0,1461352.0,759821.0,701532.0,103718.0,284948,290973,259048.5,188157.0,176511.0,228289.0,319543.0,203391,204755.25,251417.0,134669.0,228691.5,230372.625,230721,230492.25,229510.5,149085.0,128061.0,7.0,강남구,일식음식점,3.0
1272,5.0,5.0,1.0,0.0,30.0,1.0,2.0,3.0,0.0,2.0,3226.5,1595.0,1461352.0,759821.0,701532.0,103718.0,284948,290973,259048.5,188157.0,176511.0,228289.0,319543.0,203391,204755.25,251417.0,134669.0,228691.5,230372.625,230721,230492.25,229510.5,149085.0,128061.0,1.0,강남구,양식음식점,3.0
1273,4.0,4.0,0.0,0.0,30.0,1.0,2.0,3.0,0.0,2.0,3226.5,1595.0,1461352.0,759821.0,701532.0,103718.0,284948,290973,259048.5,188157.0,176511.0,228289.0,319543.0,203391,204755.25,251417.0,134669.0,228691.5,230372.625,230721,230492.25,229510.5,149085.0,128061.0,7.0,강남구,중식음식점,3.0
1438,2.0,9.0,0.0,0.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,1036431.0,557020.0,479412.0,120917.0,202995,277520,218415.0,119888.0,96697.0,81383.0,243826.0,203391,204755.25,192548.0,64825.0,159992.0,176201.0,181777,179663.0,164781.0,92054.0,81962.0,7.0,강남구,치킨전문점,3.0
1439,13.5,16.5,0.0,0.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,1036431.0,557020.0,479412.0,120917.0,202995,277520,218415.0,119888.0,96697.0,81383.0,243826.0,203391,204755.25,192548.0,64825.0,159992.0,176201.0,181777,179663.0,164781.0,92054.0,81962.0,7.0,강남구,일식음식점,3.0
1440,3.0,9.0,1.0,0.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,1036431.0,557020.0,479412.0,120917.0,202995,277520,218415.0,119888.0,96697.0,81383.0,243826.0,203391,204755.25,192548.0,64825.0,159992.0,176201.0,181777,179663.0,164781.0,92054.0,81962.0,7.0,강남구,패스트푸드점,3.0
1441,7.0,14.0,0.0,0.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,1036431.0,557020.0,479412.0,120917.0,202995,277520,218415.0,119888.0,96697.0,81383.0,243826.0,203391,204755.25,192548.0,64825.0,159992.0,176201.0,181777,179663.0,164781.0,92054.0,81962.0,7.0,강남구,제과점,0.0
1442,13.5,16.5,0.0,1.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,1036431.0,557020.0,479412.0,120917.0,202995,277520,218415.0,119888.0,96697.0,81383.0,243826.0,203391,204755.25,192548.0,64825.0,159992.0,176201.0,181777,179663.0,164781.0,92054.0,81962.0,7.0,강남구,분식전문점,3.0
