,점포수,유사업종점포수,개업점포수,폐업점포수,집객시설수,관공서수,은행수,버스정거장수,지하철수,약국수,총직장인구수,총상주인구수,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,분기당매출금액,시군구명,서비스업종명,월예상매출
12346,13.5,16.5,1.0,0.0,93.0,5.0,2.0,8.0,0.0,7.0,3226.5,3265.0,1349245.0,610685.0,738560.0,124044.0,244408,290973,259048.5,185047.0,215078.0,235432.0,271146.0,203391,204755.25,251188.0,132743.0,188121.0,196522.0,199131,206892.0,210828.0,187526.0,160223.0,5.0,강남구,커피-음료,3.0
12347,5.0,6.0,0.0,1.0,93.0,5.0,2.0,8.0,0.0,7.0,3226.5,3265.0,1349245.0,610685.0,738560.0,124044.0,244408,290973,259048.5,185047.0,215078.0,235432.0,271146.0,203391,204755.25,251188.0,132743.0,188121.0,196522.0,199131,206892.0,210828.0,187526.0,160223.0,0.0,강남구,패스트푸드점,3.0
12348,13.5,16.5,0.0,0.0,93.0,5.0,2.0,8.0,0.0,7.0,3226.5,3265.0,1349245.0,610685.0,738560.0,124044.0,244408,290973,259048.5,185047.0,215078.0,235432.0,271146.0,203391,204755.25,251188.0,132743.0,188121.0,196522.0,199131,206892.0,210828.0,187526.0,160223.0,7.0,강남구,일식음식점,3.0
12349,13.5,16.5,1.0,1.0,93.0,5.0,2.0,8.0,0.0,7.0,3226.5,3265.0,1349245.0,610685.0,738560.0,124044.0,244408,290973,259048.5,185047.0,215078.0,235432.0,271146.0,203391,204755.25,251188.0,132743.0,188121.0,196522.0,199131,206892.0,210828.0,187526.0,160223.0,7.0,강남구,한식음식점,3.0
12428,5.0,9.0,0.0,0.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,890770.0,480012.0,410758.0,82400.0,176106,240708,190791.0,109670.0,91097.0,75689.0,204287.0,190994,189225.0,172562.0,58013.0,146270.0,143399.0,143467,155943.0,149197.0,83404.0,69091.0,7.0,강남구,호프-간이주점,3.0
12429,13.5,16.5,1.0,0.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,890770.0,480012.0,410758.0,82400.0,176106,240708,190791.0,109670.0,91097.0,75689.0,204287.0,190994,189225.0,172562.0,58013.0,146270.0,143399.0,143467,155943.0,149197.0,83404.0,69091.0,7.0,강남구,커피-음료,3.0
12430,2.0,9.0,0.0,0.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,890770.0,480012.0,410758.0,82400.0,176106,240708,190791.0,109670.0,91097.0,75689.0,204287.0,190994,189225.0,172562.0,58013.0,146270.0,143399.0,143467,155943.0,149197.0,83404.0,69091.0,4.0,강남구,치킨전문점,3.0
12431,13.5,16.5,0.0,0.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,890770.0,480012.0,410758.0,82400.0,176106,240708,190791.0,109670.0,91097.0,75689.0,204287.0,190994,189225.0,172562.0,58013.0,146270.0,143399.0,143467,155943.0,149197.0,83404.0,69091.0,7.0,강남구,한식음식점,3.0
12432,3.0,8.0,0.0,1.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,890770.0,480012.0,410758.0,82400.0,176106,240708,190791.0,109670.0,91097.0,75689.0,204287.0,190994,189225.0,172562.0,58013.0,146270.0,143399.0,143467,155943.0,149197.0,83404.0,69091.0,7.0,강남구,패스트푸드점,3.0
12433,13.5,16.5,0.0,0.0,88.0,3.0,2.0,21.0,1.0,7.0,3226.5,746.0,890770.0,480012.0,410758.0,82400.0,176106,240708,190791.0,109670.0,91097.0,75689.0,204287.0,190994,189225.0,172562.0,58013.0,146270.0,143399.0,143467,155943.0,149197.0,83404.0,69091.0,7.0,강남구,일식음식점,3.0
12434,1.0,2.0,0.0,0.0,11.0,0.0,1.0,5.0,0.0,1.0,2779.0,3789.0,1401808.0,744519.0,657289.0,201150.75,172815,200860,257650.0,174137.0,151902.0,271749.0,281402.0,203391,204755.25,273410.0,144479.0,203805.0,202984.0,204958,211126.0,210219.0,188777.0,179940.0,3.0,강남구,호프-간이주점,3.0
12435,5.0,8.0,0.0,0.0,11.0,0.0,1.0,5.0,0.0,1.0,2779.0,3789.0,1401808.0,744519.0,657289.0,201150.75,172815,200860,257650.0,174137.0,151902.0,271749.0,281402.0,203391,204755.25,273410.0,144479.0,203805.0,202984.0,204958,211126.0,210219.0,188777.0,179940.0,4.0,강남구,패스트푸드점,3.0
